id,ast,blk,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,min,oreb,pf,pts,reb,stl,turnover,game.id,game.date,game.home_team_id,game.home_team_score,game.period,game.postseason,game.season,game.status,game.time,game.visitor_team_id,game.visitor_team_score,player.id,player.first_name,player.height_feet,player.height_inches,player.last_name,player.position,player.team_id,player.weight_pounds,team.id,team.abbreviation,team.city,team.conference,team.division,team.full_name,team.name
406988,,,,,,,,,,,,,,,,,,,,15412,2005-01-28T00:00:00.000Z,20,99,4,False,2004,Final, ,6,96,237,LeBron,6,8,James,F,14,250,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
785018,,,,,,,,,,,,,,,,,,,,33965,2016-12-14T00:00:00.000Z,15,93,4,False,2016,Final, ,6,85,237,LeBron,6,8,James,F,14,250,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
380,6.0,0.0,10.0,0.0,4.0,0.0,0.563,16.0,9.0,0.889,9.0,8.0,37:20,2.0,3.0,26.0,12.0,1.0,6.0,16,2018-10-18T00:00:00.000Z,25,128,4,False,2018,Final, ,14,119,237,LeBron,6,8,James,F,14,250,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
744,5.0,1.0,5.0,0.143,7.0,1.0,0.409,22.0,9.0,0.714,7.0,5.0,38:52,0.0,0.0,24.0,5.0,2.0,1.0,35,2018-10-20T00:00:00.000Z,14,115,4,False,2018,Final, ,11,124,237,LeBron,6,8,James,F,14,250,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1181,14.0,1.0,6.0,0.25,8.0,2.0,0.44,25.0,11.0,0.727,11.0,8.0,42:52,2.0,2.0,32.0,8.0,1.0,5.0,48,2018-10-22T00:00:00.000Z,14,142,4,False,2018,Final, ,27,143,237,LeBron,6,8,James,F,14,250,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1371,10.0,0.0,7.0,0.2,5.0,1.0,0.438,16.0,7.0,1.0,4.0,4.0,28:04,0.0,1.0,19.0,7.0,3.0,0.0,60,2018-10-24T00:00:00.000Z,24,113,4,False,2018,Final, ,14,131,237,LeBron,6,8,James,F,14,250,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1667,11.0,0.0,11.0,0.2,5.0,1.0,0.588,17.0,10.0,0.7,10.0,7.0,34:40,0.0,3.0,28.0,11.0,3.0,2.0,66,2018-10-25T00:00:00.000Z,14,121,4,False,2018,Final, ,8,114,237,LeBron,6,8,James,F,14,250,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1806,4.0,0.0,10.0,0.333,6.0,2.0,0.619,21.0,13.0,0.875,8.0,7.0,34:18,1.0,3.0,35.0,11.0,2.0,4.0,82,2018-10-27T00:00:00.000Z,27,110,4,False,2018,Final, ,14,106,237,LeBron,6,8,James,F,14,250,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
2413,8.0,2.0,7.0,0.5,6.0,3.0,0.478,23.0,11.0,0.8,5.0,4.0,36:16,3.0,2.0,29.0,10.0,2.0,5.0,93,2018-10-29T00:00:00.000Z,18,124,4,False,2018,Final, ,14,120,237,LeBron,6,8,James,F,14,250,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
2795,6.0,0.0,5.0,0.667,3.0,2.0,0.579,19.0,11.0,0.714,7.0,5.0,38:35,0.0,3.0,29.0,5.0,3.0,3.0,109,2018-10-31T00:00:00.000Z,14,114,4,False,2018,Final, ,7,113,237,LeBron,6,8,James,F,14,250,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
3222,7.0,2.0,5.0,0.2,5.0,1.0,0.45,20.0,9.0,0.818,11.0,9.0,31:21,0.0,1.0,28.0,5.0,0.0,3.0,132,2018-11-03T00:00:00.000Z,25,110,4,False,2018,Final, ,14,114,237,LeBron,6,8,James,F,14,250,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
3497,6.0,1.0,2.0,0.667,3.0,2.0,0.5,12.0,6.0,0.571,7.0,4.0,28:16,0.0,3.0,18.0,2.0,0.0,3.0,138,2018-11-04T00:00:00.000Z,14,107,4,False,2018,Final, ,28,121,237,LeBron,6,8,James,F,14,250,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
3969,9.0,2.0,10.0,0.333,9.0,3.0,0.476,21.0,10.0,0.5,2.0,1.0,38:32,1.0,1.0,24.0,11.0,0.0,3.0,147,2018-11-07T00:00:00.000Z,14,114,4,False,2018,Final, ,18,110,237,LeBron,6,8,James,F,14,250,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
4634,2.0,0.0,6.0,0.5,6.0,3.0,0.556,18.0,10.0,0.667,3.0,2.0,31:17,1.0,2.0,25.0,7.0,1.0,3.0,174,2018-11-10T00:00:00.000Z,26,86,4,False,2018,Final, ,14,101,237,LeBron,6,8,James,F,14,250,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
4812,4.0,0.0,4.0,0.333,9.0,3.0,0.5,20.0,10.0,0.429,7.0,3.0,34:18,3.0,1.0,26.0,7.0,2.0,4.0,166,2018-11-11T00:00:00.000Z,14,107,4,False,2018,Final, ,1,106,237,LeBron,6,8,James,F,14,250,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
5179,9.0,3.0,8.0,0.833,6.0,5.0,0.684,19.0,13.0,0.867,15.0,13.0,36:00,2.0,0.0,44.0,10.0,1.0,4.0,212,2018-11-14T00:00:00.000Z,14,126,4,False,2018,Final, ,25,117,237,LeBron,6,8,James,F,14,250,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
5696,7.0,1.0,4.0,0.5,6.0,3.0,0.421,19.0,8.0,0.75,4.0,3.0,25:53,0.0,0.0,22.0,4.0,0.0,3.0,226,2018-11-17T00:00:00.000Z,22,130,4,False,2018,Final, ,14,117,237,LeBron,6,8,James,F,14,250,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
5925,3.0,1.0,7.0,0.75,8.0,6.0,0.613,31.0,19.0,0.7,10.0,7.0,38:29,1.0,3.0,51.0,8.0,2.0,2.0,235,2018-11-18T00:00:00.000Z,16,97,4,False,2018,Final, ,14,113,237,LeBron,6,8,James,F,14,250,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
6510,7.0,1.0,12.0,0.333,6.0,2.0,0.55,20.0,11.0,0.667,12.0,8.0,35:30,2.0,3.0,32.0,14.0,0.0,4.0,255,2018-11-21T00:00:00.000Z,6,105,4,False,2018,Final, ,14,109,237,LeBron,6,8,James,F,14,250,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
6903,7.0,1.0,9.0,0.4,5.0,2.0,0.471,17.0,8.0,0.667,6.0,4.0,35:05,1.0,1.0,22.0,10.0,2.0,5.0,278,2018-11-23T00:00:00.000Z,14,90,4,False,2018,Final, ,29,83,237,LeBron,6,8,James,F,14,250,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
7274,7.0,1.0,4.0,0.286,7.0,2.0,0.571,14.0,8.0,0.545,11.0,6.0,40:27,0.0,4.0,24.0,4.0,0.0,6.0,286,2018-11-25T00:00:00.000Z,14,104,4,False,2018,Final, ,22,108,237,LeBron,6,8,James,F,14,250,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
7563,2.0,2.0,7.0,0.0,4.0,0.0,0.333,15.0,5.0,0.667,6.0,4.0,30:04,0.0,0.0,14.0,7.0,2.0,4.0,303,2018-11-27T00:00:00.000Z,8,117,4,False,2018,Final, ,14,85,237,LeBron,6,8,James,F,14,250,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
7815,8.0,1.0,6.0,0.2,5.0,1.0,0.529,17.0,9.0,0.75,4.0,3.0,30:59,0.0,0.0,22.0,6.0,0.0,5.0,347,2018-12-02T00:00:00.000Z,14,120,4,False,2018,Final, ,24,96,237,LeBron,6,8,James,F,14,250,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
